class_id,ethnic,n_eff,n_indiv,share_in_class,mean_dkl,class_name
036,API,1221.4243999999999,24287,0.05029128340264338,-0.009106778994583209,Insurance & Financial
036,AIAN,153.64159999999998,24287,0.006326083913204594,-0.0057387197941728,Insurance & Financial
036,2+races,459.80420000000004,24287,0.01893211182937374,-0.009103808244960342,Insurance & Financial
036,Hispanic,2027.7386999999999,24287,0.08349070284514348,-0.012373233824334678,Insurance & Financial
037,White,8469.8305,12065,0.7020166183174472,0.05671049437324857,Construction & Repair
037,Black,1428.2994,12065,0.1183837049316204,0.06046701657892378,Construction & Repair
037,API,413.9758,12065,0.03431212598425197,0.06187423254211038,Construction & Repair
037,AIAN,79.4752,12065,0.006587252382925819,0.06538632528485028,Construction & Repair
037,2+races,207.5765,12065,0.017204848736013263,0.06174145620065395,Construction & Repair
037,Hispanic,1422.9335,12065,0.11793895565685869,0.0943192061807116,Construction & Repair
038,White,3386.782,4831,0.7010519561167461,-0.03549894134603381,Telecommunications
038,Black,629.2208,4831,0.13024649140964606,-0.045849451725187416,Telecommunications
038,API,273.3118,4831,0.056574580832125854,-0.04383296934519682,Telecommunications
038,AIAN,32.1145,4831,0.006647588490995653,-0.0120782449940739,Telecommunications
038,2+races,87.59700000000001,4831,0.018132270751397228,-0.0407693083075553,Telecommunications
038,Hispanic,401.4352,4831,0.08309567377354585,-0.027273377050206077,Telecommunications
039,White,4160.3735,6091,0.6830362009522245,0.006195031183670708,Transport & Travel
039,Black,834.5314000000001,6091,0.13701057297652275,0.010678861849390266,Transport & Travel
039,API,324.6906,6091,0.053306616319159415,0.013710472763989236,Transport & Travel
039,AIAN,37.283199999999994,6091,0.00612103102938762,0.009394575871317057,Transport & Travel
039,2+races,111.8048,6091,0.01835573797406009,0.015665539224352775,Transport & Travel
039,Hispanic,600.4485,6091,0.0985796256772287,0.0361287935535292,Transport & Travel
040,White,4065.1463000000003,5983,0.6794494902222966,0.010679174668190626,Materials Treatment
040,Black,867.2527,5983,0.1449528163128865,0.007309523751282093,Materials Treatment
040,API,276.3832,5983,0.04619475179675748,0.0036226116823273933,Materials Treatment
040,AIAN,39.920100000000005,5983,0.006672254721711517,-0.01492158692623813,Materials Treatment
040,2+races,109.9524,5983,0.018377469496907904,0.006657735371545583,Materials Treatment
040,Hispanic,603.4524,5983,0.10086117332441918,0.009674988900021898,Materials Treatment
041,White,93570.41,136183,0.6870931760939325,0.01995271273824145,Education & Entertainment
041,Black,19995.8846,136183,0.146830989183672,0.021909976528867246,Education & Entertainment
041,API,5442.2965,136183,0.03996311213587599,0.02756230729380348,Education & Entertainment
041,AIAN,889.5446,136183,0.006531979762525425,0.016694320257596373,Education & Entertainment
041,2+races,2493.9923,136183,0.018313536197616442,0.021616527951479447,Education & Entertainment
041,Hispanic,13328.453300000001,136183,0.09787163816335373,0.012667112634196186,Education & Entertainment
042,White,24323.7059,34225,0.7106999532505479,-0.033317472375595784,Scientific & Tech Services
042,Black,3992.8554000000004,34225,0.11666487655222792,-0.025723737041585846,Scientific & Tech Services
042,API,2372.6153,34225,0.06932404090577063,0.010184655906799959,Scientific & Tech Services
042,AIAN,209.5697,34225,0.006123292914536158,-0.033128390984375373,Scientific & Tech Services
042,2+races,623.9975999999999,34225,0.018232216216216214,-0.025133892275757564,Scientific & Tech Services
