cls,class_name,year,n_filings,n_unique_owners,top10_count,top10_share,hhi
010,Medical Devices,2011,6913,4182,197,0.02849703457254448,4.877424192714522
010,Medical Devices,2012,7272,4425,244,0.03355335533553355,5.197611345292945
010,Medical Devices,2013,7349,4498,213,0.028983535174853723,4.744314622252443
010,Medical Devices,2014,7633,4644,232,0.030394340364208045,4.585267253971062
010,Medical Devices,2015,8537,5247,230,0.02694154855335598,4.09589034874398
010,Medical Devices,2016,9392,5947,246,0.02619250425894378,3.550177903409767
010,Medical Devices,2017,10617,6947,267,0.025148346990675332,3.1702254765316416
010,Medical Devices,2018,11531,7624,259,0.022461191570548954,2.6847124387336803
010,Medical Devices,2019,12231,8096,428,0.03499305044558908,5.1461469296908255
010,Medical Devices,2020,22960,16555,249,0.010844947735191637,1.1001560052932535
010,Medical Devices,2021,17000,11734,261,0.015352941176470588,1.7175778546712805
010,Medical Devices,2022,13370,9259,235,0.017576664173522813,2.0696264032325464
010,Medical Devices,2023,13588,9587,302,0.022225493082131294,2.198514698374962
010,Medical Devices,2024,14195,10272,205,0.014441704825642832,1.7753523886896658
010,Medical Devices,2025,14385,10137,275,0.019117135905457074,2.0026750821450285
011,"Lighting, HVAC & Appliances",1985,1480,1079,146,0.09864864864864865,25.14609203798394
011,"Lighting, HVAC & Appliances",1986,1438,1138,73,0.050764951321279554,12.351028414135689
011,"Lighting, HVAC & Appliances",1987,1487,1143,84,0.05648957632817754,13.18307194067934
011,"Lighting, HVAC & Appliances",1988,1488,1133,82,0.05510752688172043,13.612484102208347
011,"Lighting, HVAC & Appliances",1989,1973,1386,153,0.07754688291941206,15.24123564727984
011,"Lighting, HVAC & Appliances",1990,2457,1816,120,0.04884004884004884,9.748463146916547
011,"Lighting, HVAC & Appliances",1991,2320,1717,121,0.052155172413793104,9.954667063020215
011,"Lighting, HVAC & Appliances",1992,2470,1754,110,0.044534412955465584,9.69365175629825
011,"Lighting, HVAC & Appliances",1993,2533,1814,121,0.04776944334780892,9.671000511370712
011,"Lighting, HVAC & Appliances",1994,2722,1937,134,0.04922850844966936,9.51239013108419
011,"Lighting, HVAC & Appliances",1995,3028,2050,219,0.07232496697490093,16.0457482693452
011,"Lighting, HVAC & Appliances",1996,3077,2132,117,0.03802404939876503,7.778892300523167
011,"Lighting, HVAC & Appliances",1997,3466,2353,149,0.042989036353144834,7.907996866102461
011,"Lighting, HVAC & Appliances",1998,3777,2568,168,0.04447974583002383,7.819439160802788
011,"Lighting, HVAC & Appliances",1999,4173,2924,147,0.03522645578720345,6.11292259202389
011,"Lighting, HVAC & Appliances",2000,4254,2897,132,0.031029619181946404,6.261978825095393
011,"Lighting, HVAC & Appliances",2001,4188,2738,199,0.047516714422158546,8.092662986711474
011,"Lighting, HVAC & Appliances",2002,4446,2899,204,0.04588394062078273,7.809007737979965
011,"Lighting, HVAC & Appliances",2003,4806,3014,282,0.05867665418227216,9.542102057543897
011,"Lighting, HVAC & Appliances",2004,5127,3296,290,0.05656329237370782,8.377422175779477
011,"Lighting, HVAC & Appliances",2005,5460,3612,315,0.057692307692307696,8.429604583450736
011,"Lighting, HVAC & Appliances",2006,6000,3868,282,0.047,6.940555555555555
011,"Lighting, HVAC & Appliances",2007,6442,4104,334,0.051847252406085065,7.327823144470359
011,"Lighting, HVAC & Appliances",2008,6186,4085,214,0.0345942450695118,5.016385570328754
011,"Lighting, HVAC & Appliances",2009,5927,3903,306,0.05162814239919015,7.728869515270276
011,"Lighting, HVAC & Appliances",2010,6220,4161,229,0.036816720257234724,5.4569328274107995
011,"Lighting, HVAC & Appliances",2011,6485,4256,332,0.051195065535851965,6.58301079116804
011,"Lighting, HVAC & Appliances",2012,6379,4262,257,0.040288446464963164,5.248498088342028
011,"Lighting, HVAC & Appliances",2013,6859,4492,275,0.04009330806239977,5.414076526699542
011,"Lighting, HVAC & Appliances",2014,7475,4869,298,0.039866220735785954,5.039227749130323
011,"Lighting, HVAC & Appliances",2015,8506,5769,359,0.04220550199858923,6.5817083571773995
011,"Lighting, HVAC & Appliances",2016,10450,7277,420,0.04019138755980861,5.870744717382843
011,"Lighting, HVAC & Appliances",2017,12920,9492,304,0.023529411764705882,2.2693833929204725
011,"Lighting, HVAC & Appliances",2018,12710,9244,288,0.022659323367427223,2.3083479990912696
011,"Lighting, HVAC & Appliances",2019,13849,10141,447,0.032276698678604956,4.016323675009314
011,"Lighting, HVAC & Appliances",2020,27194,20996,406,0.014929763918511436,1.0281892895346154
