cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
B43,2010,651,577,0.00213543620708776,0.039938556067588324
B44,1980,685,595,0.003305450476850127,0.06277372262773723
B44,1990,1004,860,0.0022142505674513117,0.053784860557768925
B44,2000,1213,1022,0.0014795744643254032,0.0403957131079967
B44,2010,764,652,0.002155231490364848,0.04712041884816754
B60,1980,8954,5998,0.0013086268391160056,0.05193209738664284
B60,1990,17088,10428,0.0010522885937872606,0.04652387640449438
B60,2000,22792,13378,0.0006759436383866009,0.03795191295191295
B60,2010,30742,17432,0.0004998928312828076,0.030707175850627804
B60,2020,24767,14686,0.00048606278982180377,0.028667178099890982
B61,1980,901,781,0.0025043083218670584,0.05993340732519423
B61,1990,1080,900,0.0022307956104252406,0.05555555555555555
B61,2000,1192,993,0.0017989054547092505,0.04949664429530201
B61,2010,1719,1431,0.0012457017199211766,0.04130308318789994
B61,2020,1117,981,0.001320040490859502,0.03043867502238138
B62,1980,3248,2439,0.0015215881239535052,0.05080049261083744
B62,1990,5007,3568,0.0012687250830662486,0.048731775514280005
B62,2000,7186,5009,0.0007801141611208794,0.03729473977177846
B62,2010,9596,6545,0.0006003048373115031,0.03167986661108795
B62,2020,5958,4422,0.0005950797351630374,0.028700906344410877
B63,1980,2509,1905,0.002237143572894451,0.06337186129932244
B63,1990,3685,2645,0.0017356660634167266,0.05834464043419267
B63,2000,3956,2926,0.001040643233301402,0.0442366026289181
B63,2010,4275,3127,0.001009705550425772,0.04514619883040936
B63,2020,2467,1966,0.0009048503891415319,0.034049452776651806
B64,1980,2230,1768,0.0016955900983329673,0.054708520179372194
B64,1990,3331,2581,0.0016032537696832095,0.05403782647853497
B64,2000,4243,3189,0.0011037574801912732,0.04666509545133161
B64,2010,8998,6225,0.0006123956023716416,0.03534118693042899
B64,2020,8415,5992,0.0005049551825267462,0.02875816993464052
B65,1980,12917,8133,0.0016365527012888886,0.05581791437640319
B65,1990,18177,10947,0.0011294286928931034,0.04835781482092755
B65,2000,16642,10290,0.0008612770936558755,0.04404518687657733
B65,2010,20293,12228,0.0005968759321823034,0.035085990242940915
B65,2020,11821,7781,0.0006148377997913936,0.035191608154978425
B66,1980,1852,1510,0.0024076475609812933,0.06317494600431965
B66,1990,2020,1604,0.0016699343201646865,0.05247524752475247
B66,2000,2095,1666,0.0015149150437739592,0.04916467780429594
B66,2010,2966,2282,0.0010487480272033348,0.04146999325691166
B66,2020,1901,1577,0.0010684041539642053,0.03787480273540242
B67,1980,1199,1010,0.0021960196187954845,0.05504587155963303
B67,1990,1998,1556,0.0016242468694921146,0.05005005005005005
B67,2000,1655,1309,0.0015133122187639763,0.04773413897280967
B67,2010,1909,1563,0.001158801969441983,0.03876375065479309
B67,2020,1474,1201,0.0013568521031207602,0.036635006784260515
B81,2000,1637,1321,0.0014154205082602279,0.04520464263897373
B81,2010,1697,1334,0.0015935084583734531,0.052445492044784915
B81,2020,708,607,0.002389958185706537,0.05790960451977401
B82,2000,300,265,0.00488888888888889,0.07
B82,2010,730,585,0.0032426346406455287,0.08082191780821918
C01,1980,2818,2244,0.0017292262405170875,0.050745209368346346
C01,1990,2866,2291,0.0012301015491195738,0.04675505931612003
C01,2000,3221,2483,0.0009333155081605587,0.0388078236572493
C01,2010,4647,3399,0.0008948066621627651,0.03959543791693566
C01,2020,2516,1938,0.0012922068238630474,0.0492845786963434
C02,1980,2036,1664,0.0015719022236289036,0.047151277013752456
C02,1990,3269,2546,0.001287154719927578,0.04588559192413582
C02,2000,3100,2375,0.0011207075962539025,0.0467741935483871
C02,2010,4068,3052,0.000874513796434071,0.038593903638151426
C02,2020,2767,2172,0.0008624282599572705,0.032164799421756415
C03,1980,1892,1573,0.001844307175198565,0.05496828752642706
C03,1990,2063,1721,0.0014946067511300014,0.04750363548230732
C03,2000,2128,1720,0.0012044031601560294,0.045112781954887216
C03,2010,2223,1763,0.0011714523398591887,0.043184885290148446
C03,2020,1509,1217,0.0015401296660066126,0.04903909874088801
C04,1980,2231,1807,0.002110154356897159,0.05737337516808606
C04,1990,3796,2920,0.0010951020485209303,0.04083245521601686
C04,2000,3021,2316,0.0012080284088835944,0.044687189672293945
C04,2010,2995,2335,0.0008797076931223718,0.0333889816360601
C04,2020,1689,1391,0.0011634506143432892,0.037300177619893425
C05,1990,441,382,0.004468302816213397,0.07936507936507936
C05,2000,344,303,0.004512574364521361,0.07267441860465117
C05,2010,757,654,0.002165608874633757,0.047556142668428
C05,2020,573,491,0.0027563815563048074,0.0506108202443281
C06,1980,474,424,0.003952358062276343,0.06540084388185655
C06,1990,632,552,0.0029041820221118388,0.058544303797468354
C06,2000,494,437,0.0035076791948728914,0.06477732793522267
C06,2010,574,511,0.0027923126418919744,0.05574912891986063
C07,1980,12548,8177,0.0012174988560345243,0.046939751354797575
C07,1990,25936,15024,0.000672076802919425,0.03612739049969155
C07,2000,35588,18833,0.0006581651950249663,0.038468022929077215
C07,2010,42312,21371,0.0008027234040362669,0.043651919077330306
C07,2020,24613,13688,0.0009181697129369487,0.04863283630601715
C08,1980,9522,6503,0.0016002914529816103,0.05356017643352237
C08,1990,12955,8370,0.000816703486715363,0.040756464685449634
C08,2000,13050,8350,0.0007801059878745174,0.04084291187739464
C08,2010,13995,8652,0.000752236195211351,0.0375848517327617
C08,2020,8768,5800,0.0009376436044807932,0.045962591240875914
C09,1980,4924,3667,0.001441818154221996,0.04935012185215272
C09,1990,7044,4965,0.0009790008193811199,0.04301533219761499
C09,2000,8347,5652,0.0008201668468216735,0.03965496585599616
C09,2010,11857,7483,0.0007564134945396541,0.03972337016108628
C09,2020,7455,5045,0.0008605894252166242,0.04104627766599597
C10,1980,4257,3163,0.0020473954131787226,0.0613107822410148
C10,1990,4134,3123,0.0012444736545840144,0.04644412191582003
C10,2000,3538,2707,0.0010049975058805932,0.04041831543244771
C10,2010,5648,4102,0.0007203783434583378,0.03310906515580737
C10,2020,2876,2266,0.0008564475850209206,0.03442280945757997
C11,1980,1548,1319,0.0016942758514779442,0.0458656330749354
C11,1990,2541,2065,0.0011812570576121072,0.04014167650531287
C11,2000,3080,2421,0.0008232838589981438,0.03279220779220779
C11,2010,3004,2386,0.0007610802108506903,0.02929427430093209
C11,2020,1394,1166,0.001345178866591603,0.043041606886657105
C12,1980,3163,2557,0.0009486665542513613,0.03414479924122668
C12,1990,11818,7907,0.0004969458230674675,0.029192756811643256
C12,2000,18677,11267,0.0005530511081219661,0.03121486320072817
C12,2010,27621,15470,0.0006779600002459495,0.03830418884182325
C12,2020,19523,11642,0.0007436989051029627,0.04051631409107207
C21,1980,965,839,0.002659937179521599,0.05699481865284974
C21,1990,802,706,0.0032369201684069172,0.0685785536159601
C21,2000,608,557,0.002239871883656509,0.047697368421052634
C21,2010,722,642,0.002179234352099815,0.0443213296398892
C21,2020,391,360,0.003120073782876878,0.04603580562659847
C22,1980,2295,1868,0.0015562865184805454,0.050544662309368195
C22,1990,2547,2066,0.0012462986779060146,0.043580683156654886
C22,2000,2040,1661,0.0012629757785467097,0.04068627450980392
C22,2010,2345,1903,0.000959988361573191,0.034968017057569294
C22,2020,1441,1195,0.0013373587333570596,0.03816793893129771
C23,1980,2705,2209,0.0013659923261161468,0.046950092421441776
C23,1990,4660,3491,0.0009978080274088673,0.041630901287553645
C23,2000,5858,4183,0.0008292884950660567,0.039603960396039604
C23,2010,6046,4229,0.0009051785030172801,0.04234204432682766
C23,2020,3232,2385,0.001289893454073132,0.04888613861386139
C25,1980,1861,1519,0.0016316708731301613,0.04836109618484686
C25,1990,1438,1243,0.0015842587738726908,0.0458970792767733
C25,2000,1861,1526,0.0011962506507482242,0.04030091348737238
C25,2010,2690,2054,0.0010630035516369315,0.040520446096654276
C25,2020,1615,1340,0.0012893826261154609,0.042105263157894736
C30,1980,742,670,0.002103297709258143,0.04177897574123989
C30,1990,888,787,0.0017170887103319541,0.039414414414414414
C30,2000,1338,1115,0.0013417165481353368,0.03886397608370702
C30,2010,1251,1040,0.0014984015984654318,0.04396482813749001
C30,2020,563,481,0.0028614785673046874,0.06039076376554174
C40,2000,534,485,0.0026932626351891583,0.054307116104868915
C40,2010,368,326,0.004445297731569001,0.07336956521739131
D01,1980,881,733,0.004090646141715432,0.08059023836549375
D01,1990,1329,1101,0.0021576896924032428,0.05342362678705794
D01,2000,1196,1008,0.0015589870359391952,0.04180602006688963
D01,2010,1086,911,0.0016703465163524383,0.04419889502762431
D01,2020,602,537,0.002334411319963356,0.044850498338870434
D02,1980,348,306,0.00787752675386444,0.10919540229885058
D02,1990,391,342,0.005867308560252758,0.09462915601023018
D02,2000,393,343,0.005134380928332323,0.08651399491094147
D04,1980,716,621,0.003284853781092976,0.06843575418994413
D04,1990,1119,932,0.0024876992655097885,0.05987488829311886
