row_idx,year,n_terms,dkl,survived_5y,total_competitors,live_competitors,share_neighbors_alive
1036316,2019,89,0.1279688228708924,true,1,1,1.0
438301,2000,30,-0.2536868681995559,true,0,0,0.0
2009,1990,13,0.979368228362528,true,0,0,0.0
21592,1991,35,0.16568230838914388,true,0,0,0.0
583353,2013,107,-0.18399378830076607,false,1,0,0.0
687671,2012,13,0.3367574254876118,true,0,0,0.0
13727,1990,11,0.09300371794604079,false,0,0,0.0
255315,2000,508,-0.02787337387337807,false,2,0,0.0
574636,2011,205,-0.08577803991783117,false,1,1,1.0
760803,2014,74,-0.07156148635744852,true,17,15,0.8823529411764706
100053,1995,52,0.12621287885682442,false,1,1,1.0
188379,1998,22,-0.02459704826413489,true,4,3,0.75
696162,2012,6,-0.2846249533447729,false,4,0,0.0
11821,1990,7,0.15864894871937985,true,0,0,0.0
232202,1999,22,-0.2765388127571935,false,6,5,0.8333333333333334
950757,2017,37,-0.09394276150266556,true,3,2,0.6666666666666666
672522,2011,23,-0.31058767716671554,false,0,0,0.0
380758,2008,5,-0.10284811372124825,true,688,424,0.6162790697674418
577356,2012,338,0.029598158657060836,false,1,0,0.0
824810,2015,176,0.03546664292510737,true,1,0,0.0
85695,1994,17,-0.24402921754789375,true,0,0,0.0
599349,2017,80,0.08523330786179528,false,0,0,0.0
844887,2015,8,0.14301397440732977,true,0,0,0.0
450082,2002,16,-0.010757531551120358,true,0,0,0.0
277268,2001,102,1.0849750269408118,true,1055,1051,0.9962085308056872
219128,1999,19,-0.013129364207638439,true,2,2,1.0
670507,2011,5,-0.06022666459016879,false,328,203,0.6189024390243902
743125,2013,13,0.2632041229118265,false,1,0,0.0
217866,1999,22,0.025468735240059104,false,0,0,0.0
631988,2010,28,-0.16935700563714917,true,0,0,0.0
741422,2013,26,0.0288943006724125,false,1,0,0.0
358289,2007,41,0.4664333275562189,true,988,614,0.6214574898785425
342398,2007,33,-0.17383776967150588,true,3,2,0.6666666666666666
411479,2009,47,-0.1827184135193045,false,2,1,0.5
170291,1997,24,0.38949694135607604,true,0,0,0.0
161254,1997,13,-0.00980849938397732,false,1,0,0.0
682690,2012,39,0.03406954248065297,false,1,0,0.0
82720,1994,32,0.13946041892814875,true,0,0,0.0
802465,2015,12,0.02920276565220803,true,1,0,0.0
801086,2014,71,-0.06463724685265149,false,0,0,0.0
291553,2002,30,-0.20734720519576566,true,0,0,0.0
258457,2000,82,-0.17629457342242905,true,5,2,0.4
864310,2014,5,-0.20532374764798877,false,1,1,1.0
72236,1994,15,0.010383278217497072,true,2,2,1.0
643331,2010,36,0.12775746076358185,false,0,0,0.0
184026,1998,30,0.1780978292610138,true,0,0,0.0
389331,2008,61,-0.10309595079210432,false,0,0,0.0
91901,1995,8,-0.22236650812888215,false,0,0,0.0
554406,2006,15,-0.0625883335320454,false,0,0,0.0
1038009,2019,32,0.08788010007665648,false,0,0,0.0
506935,2005,7,-0.03041388358456043,true,0,0,0.0
267925,2000,52,-0.0814453916635891,true,0,0,0.0
330988,2006,26,-0.07924791730245584,true,483,433,0.8964803312629399
94828,1995,85,0.19090704429845884,false,1,0,0.0
927740,2017,14,0.013239037502095208,true,0,0,0.0
668055,2011,39,0.23886403854682037,true,1,1,1.0
649125,2011,4,-0.24047720510334258,true,35,15,0.42857142857142855
718473,2013,54,0.16617227535634171,false,0,0,0.0
961983,2018,30,0.09955919214080566,false,1,0,0.0
1031195,2019,174,-0.17921289901098403,false,121,23,0.19008264462809918
428867,2010,9,-0.06605624031979129,true,34,19,0.5588235294117647
539791,2006,27,-0.06897267141119912,true,0,0,0.0
435573,2007,17,-0.1661461576346186,true,17,11,0.6470588235294118
922657,2017,16,-0.16001414002836611,false,194,34,0.17525773195876287
957619,2018,38,0.7685322180363903,false,0,0,0.0
124213,1996,9,0.05262800954393576,true,23,14,0.6086956521739131
283288,2001,92,-0.006806712580107899,true,0,0,0.0
898928,2016,30,-0.013501423097693532,true,1,1,1.0
724143,2013,31,0.17033265435143452,true,1,1,1.0
134634,1996,10,-0.3429127787459283,false,2,2,1.0
51663,1993,15,-0.13593240379093618,true,1,0,0.0
868209,2016,33,0.15650292484071393,false,0,0,0.0
307853,2003,23,-0.1220044557508233,true,4,3,0.75
520883,2005,9,-0.2686901567335145,true,1,1,1.0
803863,2015,50,-0.15216071277259768,false,0,0,0.0
19318,1991,13,0.23556914653895866,true,0,0,0.0
748788,2013,15,-0.24716176922321953,true,5,4,0.8
417937,2009,243,-0.021126165046875034,true,0,0,0.0
954571,2017,35,-0.04452856240703351,false,1,0,0.0
2666,1990,30,0.7223212115447195,false,4,1,0.25
173605,1997,10,0.10347479443898955,false,498,335,0.6726907630522089
124972,1996,8,0.45438847280392203,true,1,1,1.0
856499,2016,20,0.002837563756157735,false,0,0,0.0
338865,2007,145,-0.17778790112975607,false,1,1,1.0
64337,1993,7,-0.2406393626391674,false,4,4,1.0
450363,2002,6,0.40958737525793953,false,0,0,0.0
878616,2016,59,0.13174058596456373,false,7,0,0.0
472394,2003,35,-0.24577690576049527,false,2,1,0.5
21150,1991,26,0.06245403644120362,false,0,0,0.0
963511,2018,26,0.006104546699847724,false,2,0,0.0
