year,n,mean_dkl,std_dkl,mean_abs_dkl,share_pos,class_id
2006,32511,-0.02965913529680236,0.19344290881498533,0.13973325612261922,0.4120143951278029,035
2007,38693,-0.024021051261568418,0.17208634040164775,0.12624576357983075,0.3997363864264854,035
2008,37827,-0.032410390994303,0.1714078404376262,0.12769103957659667,0.3936870489333016,035
2009,34722,-0.026148493212243676,0.17907288081317546,0.12846883599235895,0.4024537757041645,035
2010,37086,-0.03572231209373365,0.17405365605597184,0.12906730439548555,0.3834061370867713,035
2011,41716,-0.03438456038580756,0.16333880027059267,0.12243162328223767,0.3999184965001438,035
2012,42060,-0.045473362519121825,0.14130096684822205,0.11092906755329084,0.37068473609129815,035
2013,42889,-0.036763755025821375,0.1390637788120576,0.10504215739553575,0.3851570332719345,035
2014,45839,-0.03535092621492727,0.1365237964349671,0.1051866772044105,0.3909989310412531,035
2015,49282,-0.034495855562791944,0.13514633707988355,0.10592028886323494,0.3887626313867132,035
2016,48717,-0.02236202187069589,0.13098916582414247,0.10103061054238188,0.40195414331752777,035
2017,52872,-0.020252699125169756,0.14966930175482093,0.10828649442380188,0.3995687698592828,035
2018,55172,0.00008041802031149674,0.13674159595685065,0.09484343201497068,0.44343145073588053,035
2019,57416,0.002205224827543639,0.12405130557342033,0.09158087714665512,0.4648704193952905,035
2020,65104,0.006784570878349857,0.12651178689661097,0.09470653421940371,0.482397394937331,035
2021,72058,-0.013726657379021285,0.1479452543346379,0.09093031040869906,0.38743789724943795,035
2022,67884,0.013242994257995922,0.11661073147837055,0.07563123817190423,0.5191797772671027,035
2023,64750,0.02921238636195884,0.08720387608202584,0.06848585013249407,0.6638610038610039,035
2024,63829,0.03744074610111161,0.10775188165125689,0.08439543743057705,0.643970608970844,035
2002,2112,0.27343984726272336,0.2735848356996636,0.3109972618049728,0.8527462121212122,043
2003,2808,0.06841769871735129,0.21409945857689958,0.1760685038244099,0.6381766381766382,043
2004,3582,-0.027483948252152196,0.2301508730239836,0.1746319254541405,0.4396984924623116,043
2005,4114,-0.019788099440321047,0.2554449277752101,0.18524294195892269,0.45041322314049587,043
2006,4687,-0.020783823361503112,0.18385579260183502,0.13686632382117878,0.4320460849157243,043
2007,5413,-0.08722535111689751,0.20168886934760438,0.17218340841574042,0.29059671162017364,043
2008,5176,-0.05430823579063478,0.2928972637554054,0.21503418900121274,0.36901081916537865,043
2009,4417,-0.005049862503206474,0.2652530547608292,0.19927630413934885,0.45619198551052753,043
2010,5210,-0.019145131603986978,0.2494178885569719,0.1862245574109415,0.4600767754318618,043
2011,5967,-0.04510727880474002,0.21842525284054415,0.16520657295433938,0.41964136081783143,043
2012,6253,-0.008803304356425524,0.17051945137659583,0.12020439903607441,0.4669758515912362,043
2013,7000,0.04723776012302781,0.19421600454677976,0.13757144285969675,0.5832857142857143,043
2014,7608,0.03810258108547727,0.16265989379088344,0.1209514896982582,0.5897739221871714,043
2015,8932,0.011159934269433163,0.1388901804848181,0.10183927682700149,0.512539184952978,043
2016,9466,0.028564312992688436,0.15695342000372964,0.10537134214129353,0.5470103528417494,043
2017,10015,0.015608152888716087,0.12434784236190975,0.09141902112793206,0.5355966050923615,043
2018,10544,0.01790863514290477,0.11993150391433897,0.08299480702376133,0.5613619119878603,043
2019,11012,0.04935128413302551,0.12372761731667177,0.09559224208292726,0.701961496549219,043
2020,10167,0.06226522402559878,0.13312073605157695,0.10796959602338359,0.7003049080358021,043
2021,12216,0.011240776831944434,0.12744240976045565,0.08969854325873788,0.5332351015062213,043
2022,12029,0.04749340313134997,0.1663136083700956,0.11084312409760802,0.6012137334774296,043
2023,12224,0.044125449426072764,0.142822879300302,0.1051372249810584,0.6588678010471204,043
2024,12084,0.03855362545881722,0.14294271503144695,0.10761733755996651,0.6190830850711685,043
