cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
E01,2020,3305,2412,0.0013416613071928372,0.055370650529500756
E02,1980,3858,3088,0.0010056325635756235,0.0383618455158113
E02,1990,4486,3401,0.0009589451424543853,0.041462327240303166
E02,2000,4632,3487,0.0007257838390888943,0.03346286701208981
E02,2010,7481,5168,0.0006242968753475919,0.03261596043309718
E02,2020,5850,3712,0.00151689677843524,0.06307692307692307
E03,1980,1530,1294,0.001544705027980691,0.04771241830065359
E03,1990,2613,2095,0.001013654679881525,0.03865288939915806
E03,2000,3023,2338,0.0010214991931414787,0.0387032748924909
E03,2010,4313,3078,0.0009621024527027218,0.040111291444470204
E03,2020,3170,2312,0.0014182646856869905,0.05457413249211356
E04,1980,7388,5427,0.0009138086344967729,0.038576069301570114
E04,1990,10069,6892,0.0007755899330866883,0.036448505313337966
E04,2000,10003,6789,0.0007000299190458798,0.036189143257022896
E04,2010,15815,10099,0.0005250680963867615,0.03161555485298767
E04,2020,9472,6272,0.0007746649798552779,0.03895692567567568
E05,1980,4446,3483,0.0009301400380312232,0.03666216824111561
E05,1990,6103,4519,0.0007777620776162467,0.03539242995248239
E05,2000,7338,5259,0.0007151473740675395,0.038975197601526304
E05,2010,10138,6751,0.0007333790728779298,0.04063917932531071
E05,2020,7044,4932,0.0008159146321604339,0.03989210675752414
E06,1980,2478,2042,0.0010028525438711333,0.037933817594834544
E06,1990,3260,2559,0.001070608604012196,0.03803680981595092
E06,2000,3255,2518,0.0009590350187941995,0.0380952380952381
E06,2010,4447,3356,0.0006993898454419742,0.03035754441196312
E06,2020,2807,2174,0.0009426025246822402,0.034200213751335945
E21,1980,8191,5706,0.0013006375483416727,0.0460261262361128
E21,1990,7658,5458,0.0008295341438013319,0.037607730477931575
E21,2000,9945,6729,0.0005898404017470644,0.03227752639517346
E21,2010,20841,12484,0.0005180716211275189,0.03200422244613982
E21,2020,17668,9794,0.0015385915317098935,0.06961738736699118
F01,1980,6728,4930,0.0006526755278312296,0.029726516052318668
F01,1990,9773,6676,0.0005008924105905583,0.025171390565844675
F01,2000,15026,9870,0.00035185473534502133,0.02023159856249168
F01,2010,27042,16306,0.00037276257466047785,0.026144515938170253
F01,2020,17751,11617,0.00046876527153848896,0.030139147090304772
F02,1980,11997,7711,0.0005290353179275896,0.026506626656664166
F02,1990,15010,9378,0.00041428299410430807,0.022051965356429046
F02,2000,21661,13136,0.0003329270230781285,0.01842020220673099
F02,2010,30313,17617,0.00035237867369089125,0.023026424306403195
F02,2020,17643,11175,0.0004541604564515462,0.02731961684520773
F03,1980,1470,1256,0.0016159933361099494,0.04829931972789116
F03,1990,853,762,0.0017770533349642484,0.03751465416178194
F03,2000,1846,1600,0.0009531310707817189,0.030335861321776816
F03,2010,7787,5528,0.000620491960988611,0.03171953255425709
F03,2020,5585,3937,0.001144035092078236,0.051924798567591766
F04,1980,5503,4147,0.0006193241893498763,0.027439578411775394
F04,1990,8106,5699,0.0004783643615750326,0.022699235134468296
F04,2000,11588,7369,0.0006379720537439549,0.03624439074905074
F04,2010,18267,10848,0.0006911194165315241,0.03793726391854163
F04,2020,13237,7855,0.0012202444599224188,0.05484626425927325
F15,1980,1778,1568,0.0009458182181670491,0.028683914510686165
F15,1990,2024,1720,0.0008807355215672786,0.0291501976284585
F15,2000,3043,2528,0.0006070293370874619,0.021360499507065395
F15,2010,3958,3152,0.0005683731735011455,0.02450732693279434
F15,2020,2383,1979,0.0008517811065194798,0.03189257238774654
F16,1980,27866,16730,0.0005367707776265646,0.029605971434723318
F16,1990,37073,20374,0.0004305775933475105,0.025355379926091767
F16,2000,43722,23182,0.00036057920593525234,0.023832395590320663
F16,2010,64184,31419,0.000431696306901778,0.029617973326685778
F16,2020,40230,21089,0.0006209189034787481,0.03656475267213522
F17,1980,885,813,0.0017044910466341092,0.03728813559322034
F17,1990,1083,970,0.0016378361464725144,0.04155124653739612
F17,2000,1520,1343,0.0010102146814404426,0.026973684210526316
F17,2010,2891,2298,0.0011099703381754291,0.046696644759598754
F17,2020,2033,1598,0.0015162993102737444,0.05410723069355632
F21,1980,2169,1839,0.0011144504237483592,0.03734439834024896
F21,1990,3661,2811,0.0008713772169514414,0.03824091778202677
F21,2000,6015,4099,0.0011747577578635842,0.054696591853699086
F21,2010,16740,8634,0.001895195191337327,0.07192353643966547
F21,2020,10759,5851,0.002469978229480663,0.07928246119527838
F22,1980,1031,919,0.001893766563401668,0.04364694471387003
F22,1990,660,615,0.002052341597796145,0.04242424242424243
F22,2000,560,512,0.0022895408163265303,0.04107142857142857
F22,2010,1048,927,0.001454970572810443,0.039122137404580155
F22,2020,568,461,0.004116246776433255,0.09683098591549295
F23,1980,4632,3598,0.0007662398095698319,0.03238341968911917
F23,1990,5240,4030,0.0006865858632946792,0.030725190839694657
F23,2000,5421,4200,0.0006122044597517675,0.02877697841726619
F23,2010,6460,4824,0.0005483614335419684,0.02956656346749226
F23,2020,3552,2789,0.0007317283499715928,0.030123873873873875
F24,1980,5630,4258,0.0009522066826724385,0.04191829484902309
F24,1990,5206,3860,0.0007950576841137084,0.0374567806377257
F24,2000,5765,4048,0.0009605170417832281,0.04891587163920208
F24,2010,12476,7646,0.0011821478900277248,0.05498557229881372
F24,2020,11617,6640,0.0019444526303194984,0.07256606697081863
