surface,cls,x,y,n,n_effective,rate_raw,rate_eb,value_raw,value_eb,z,p,sig_naive,sig_bh
survival,009,4.0444,3.76,933,735.4,0.52304,0.51521,6.1272,5.3435,3.333,0.0008596,true,true
survival,009,4.0444,4.08,4370,2597.2,0.41876,0.4205,-4.3008,-4.1269,-4.396,0.000011,true,true
survival,009,4.0444,4.4,643,459.6,0.53499,0.52107,7.322,5.9297,3.149,0.001641,true,true
survival,009,4.2222,3.76,269,216.2,0.60595,0.55788,14.4176,9.6108,4.253,0.00002112,true,true
survival,009,4.2222,4.08,3091,2284.4,0.46619,0.46601,0.442,0.4235,0.424,0.6717,false,false
survival,009,4.2222,4.4,3183,2305.0,0.45178,0.45224,-0.9997,-0.9532,-0.963,0.3357,false,false
survival,009,4.2222,4.72,209,144.4,0.5933,0.53702,13.1529,7.5247,3.171,0.00152,true,true
survival,009,4.4,4.08,1121,848.9,0.55486,0.54435,9.309,8.2576,5.44,5.314e-8,true,true
survival,009,4.4,4.4,5511,3080.4,0.42987,0.43096,-3.1905,-3.0807,-3.552,0.0003824,true,true
survival,009,4.4,4.72,1437,241.0,0.48365,0.47696,2.1874,1.5187,0.681,0.4958,false,false
survival,009,4.5778,4.08,316,271.2,0.5981,0.55924,13.6329,9.7464,4.504,6.682e-6,true,true
survival,009,4.5778,4.4,3171,2361.9,0.49732,0.49577,3.5547,3.4001,3.465,0.0005296,true,true
survival,009,4.5778,4.72,4368,3178.8,0.45856,0.45868,-0.321,-0.3093,-0.363,0.7166,false,false
survival,009,4.5778,5.04,369,248.4,0.44444,0.44982,-1.7328,-1.1955,-0.548,0.5839,false,false
survival,009,4.7556,4.08,115,94.9,0.5913,0.52237,12.9532,6.0597,2.531,0.01138,true,true
survival,009,4.7556,4.4,1040,840.7,0.57788,0.56465,11.6112,10.2875,6.753,1.447e-11,true,true
survival,009,4.7556,4.72,5914,4586.7,0.4677,0.46757,0.5932,0.5802,0.806,0.4204,false,false
survival,009,4.7556,5.04,2208,1508.4,0.52174,0.51774,5.9967,5.5965,4.672,2.987e-6,true,true
survival,009,4.7556,5.36,101,77.2,0.50495,0.47992,4.3178,1.8146,0.761,0.4467,false,false
survival,009,4.9333,4.4,418,364.4,0.62201,0.58532,16.0237,12.3546,6.136,8.464e-10,true,true
survival,009,4.9333,4.72,3059,2122.9,0.52305,0.52008,6.1275,5.8311,5.663,1.487e-8,true,true
survival,009,4.9333,5.04,5324,2159.8,0.43802,0.43917,-2.3756,-2.2603,-2.215,0.02679,true,false
survival,009,4.9333,5.36,571,450.2,0.50263,0.49476,4.0855,3.2985,1.739,0.08205,false,false
survival,009,5.1111,4.4,146,114.9,0.67123,0.56964,20.9461,10.7871,4.503,6.69e-6,true,true
survival,009,5.1111,4.72,1009,492.0,0.5887,0.56582,12.6929,10.4052,5.648,1.628e-8,true,true
