cpc_class,cpc_section,cpc_section_name,n_early,n_late,black_share_early,black_share_late,n_black_early,n_black_late,delta_share,delta_n
G09,G,Physics (incl. computing),2612,1518,0.08926887442572741,0.0767788537549407,233.1703,116.5503,-0.012490020670786708,-116.62
G10,G,Physics (incl. computing),1267,1580,0.08536235201262826,0.0580687341772152,108.15410000000001,91.74860000000001,-0.027293617835413064,-16.405500000000004
G11,G,Physics (incl. computing),3882,709,0.07073333333333334,0.05224358251057828,274.58680000000004,37.0407,-0.018489750822755065,-237.54610000000002
G16,G,Physics (incl. computing),370,2774,0.09234756756756757,0.07132981254506128,34.1686,197.8689,-0.021017755022506288,163.7003
G21,G,Physics (incl. computing),865,323,0.08777017341040462,0.06877430340557276,75.9212,22.214100000000002,-0.018995870004831855,-53.7071
H01,H,Electricity,14191,5774,0.07753225283630472,0.05974885694492554,1100.2602000000002,344.98990000000003,-0.01778339589137918,-755.2703000000001
H02,H,Electricity,3468,2626,0.07893716839677047,0.06753796648895659,273.7541,177.3547,-0.011399201907813877,-96.39939999999999
H03,H,Electricity,2795,849,0.06866980322003577,0.049468904593639576,191.9321,41.9991,-0.019200898626396193,-149.933
H04,H,Electricity,17208,19299,0.08146313923756393,0.06269209803616768,1401.8177,1209.8948,-0.01877104120139625,-191.92290000000003
H05,H,Electricity,3221,1132,0.07925932940080721,0.07716704946996468,255.29430000000002,87.35310000000001,-0.0020922799308425305,-167.9412
H10,H,Electricity,2396,1166,0.06834469949916527,0.04735994854202402,163.7539,55.221700000000006,-0.02098475095714125,-108.53219999999999
