year,ethnic,tier,weight_in_tier,share_within_ethnic
1914,Black,OTHER,0.0601,0.022805752665730657
1914,API,FOOD_HYG,0.0045000000000000005,0.05761843790012806
1914,API,IP_HIGH,0.0031,0.039692701664532655
1914,API,MANUF,0.0643,0.8233034571062741
1914,API,OTHER,0.0062,0.07938540332906531
1914,Hispanic,FOOD_HYG,0.025099999999999997,0.04363699582753824
1914,Hispanic,IP_HIGH,0.0222,0.03859527121001391
1914,Hispanic,MANUF,0.5029,0.8743045897079277
1914,Hispanic,OTHER,0.025,0.043463143254520165
1914,Two+,FOOD_HYG,0.0256,0.09366995975118918
1914,Two+,IP_HIGH,0.031000000000000003,0.11342846688620566
1914,Two+,MANUF,0.1986,0.7266739846322723
1914,Two+,OTHER,0.0181,0.06622758873033298
1914,AIAN,FOOD_HYG,0.0086,0.06687402799377914
1914,AIAN,IP_HIGH,0.0106,0.08242612752721616
1914,AIAN,MANUF,0.1004,0.7807153965785381
1914,AIAN,OTHER,0.009000000000000001,0.06998444790046655
1915,White,FOOD_HYG,1.5085000000000002,0.21710658875680036
1915,White,MANUF,5.4397,0.7828934112431997
1915,Black,FOOD_HYG,0.2868,0.29912390488110135
1915,Black,MANUF,0.672,0.7008760951188986
1915,API,FOOD_HYG,0.006,0.062305295950155756
1915,API,MANUF,0.0903,0.9376947040498442
1915,Hispanic,FOOD_HYG,0.1605,0.2107682206172029
1915,Hispanic,MANUF,0.601,0.7892317793827971
1915,Two+,FOOD_HYG,0.0139,0.10160818713450291
1915,Two+,MANUF,0.12290000000000001,0.8983918128654971
1915,AIAN,FOOD_HYG,0.0049,0.12098765432098765
1915,AIAN,MANUF,0.0356,0.8790123456790123
1916,White,IP_HIGH,0.9166,0.23218582972363652
1916,White,MANUF,2.5798,0.6534944398003901
1916,White,OTHER,0.45130000000000003,0.11431973047597335
1916,Black,IP_HIGH,0.0063,0.019930401771591274
1916,Black,MANUF,0.2723,0.8614362543498894
1916,Black,OTHER,0.0375,0.11863334387851948
1916,API,IP_HIGH,0.0163,0.0396497202627098
1916,API,MANUF,0.016,0.03891997081002189
1916,API,OTHER,0.3788,0.9214303089272683
1916,Hispanic,IP_HIGH,0.029300000000000003,0.15244536940686784
1916,Hispanic,MANUF,0.0654,0.34027055150884494
1916,Hispanic,OTHER,0.0975,0.5072840790842872
1916,Two+,IP_HIGH,0.0282,0.25
1916,Two+,MANUF,0.0527,0.46719858156028365
1916,Two+,OTHER,0.0319,0.2828014184397163
1916,AIAN,IP_HIGH,0.0033000000000000004,0.1633663366336634
1916,AIAN,MANUF,0.0138,0.6831683168316832
1916,AIAN,OTHER,0.0031,0.15346534653465346
1917,White,FOOD_HYG,0.8312999999999999,0.2181145540891559
1917,White,MANUF,2.3653,0.6206018943667515
1917,White,OTHER,0.6147,0.16128355154409257
1917,Black,FOOD_HYG,0.1182,0.133665045798937
1917,Black,MANUF,0.44270000000000004,0.5006219608730069
1917,Black,OTHER,0.3234,0.36571299332805607
1917,API,FOOD_HYG,0.005,0.26595744680851063
1917,API,MANUF,0.008799999999999999,0.4680851063829786
1917,API,OTHER,0.005,0.26595744680851063
1917,Hispanic,FOOD_HYG,0.0235,0.16129032258064516
1917,Hispanic,MANUF,0.1,0.6863417982155113
1917,Hispanic,OTHER,0.0222,0.15236787920384354
1917,Two+,FOOD_HYG,0.0161,0.16666666666666669
1917,Two+,MANUF,0.0578,0.5983436853002071
1917,Two+,OTHER,0.0227,0.23498964803312633
1917,AIAN,FOOD_HYG,0.0058,0.20422535211267606
1917,AIAN,MANUF,0.0106,0.3732394366197183
1917,AIAN,OTHER,0.012,0.4225352112676057
1918,White,MANUF,2.4998000000000005,1.0
1918,Black,MANUF,0.2415,1.0
1918,API,MANUF,0.0079,1.0
1918,Hispanic,MANUF,0.13319999999999999,1.0
1918,Two+,MANUF,0.0628,1.0
1918,AIAN,MANUF,0.0073,1.0
1919,White,FOOD_HYG,0.8495999999999999,0.2122196133286706
1919,White,IP_HIGH,0.7488,0.18704101513713345
1919,White,MANUF,2.4050000000000002,0.600739371534196
1919,Black,FOOD_HYG,0.111,0.07294952681388013
1919,Black,IP_HIGH,0.1917,0.1259858044164038
1919,Black,MANUF,1.2188999999999999,0.801064668769716
1919,API,FOOD_HYG,0.0061,0.031314168377823415
1919,API,IP_HIGH,0.005,0.025667351129363455
1919,API,MANUF,0.18369999999999997,0.9430184804928131
1919,Hispanic,FOOD_HYG,0.0202,0.17133163698049192
1919,Hispanic,IP_HIGH,0.0234,0.1984732824427481
1919,Hispanic,MANUF,0.0743,0.63019508057676
1919,Two+,FOOD_HYG,0.0131,0.13152610441767068
1919,Two+,IP_HIGH,0.021,0.2108433734939759
1919,Two+,MANUF,0.0655,0.6576305220883534
1919,AIAN,FOOD_HYG,0.0,0.0
1919,AIAN,IP_HIGH,0.0101,0.315625
1919,AIAN,MANUF,0.0219,0.684375
1920,White,MANUF,3.794,1.0
1920,Black,MANUF,0.4552,1.0
1920,API,MANUF,0.4948,1.0
1920,Hispanic,MANUF,0.11460000000000001,1.0
1920,Two+,MANUF,0.1043,1.0
1920,AIAN,MANUF,0.0334,1.0
1921,White,FOOD_HYG,4.2778,0.11111053391653072
1921,White,IP_HIGH,1.5185,0.039441148663390505
1921,White,MANUF,29.7511,0.7727478156071105
1921,White,OTHER,2.953,0.07670050181296816
1921,Black,FOOD_HYG,0.33619999999999994,0.04121613338237096
1921,Black,IP_HIGH,0.33440000000000003,0.040995464018634305
1921,Black,MANUF,6.6987,0.8212210371460095
1921,Black,OTHER,0.7877000000000001,0.09656736545298518
1921,API,FOOD_HYG,0.09460000000000002,0.07618587420471935
1921,API,IP_HIGH,0.0069,0.005556897801401305
1921,API,MANUF,1.119,0.9011838608359507
1921,API,OTHER,0.021200000000000004,0.01707336715792865
1921,Hispanic,FOOD_HYG,0.1528,0.09498352707154845
1921,Hispanic,IP_HIGH,0.049100000000000005,0.030521539130975325
1921,Hispanic,MANUF,1.2948,0.804873500341891
1921,Hispanic,OTHER,0.112,0.06962143345558526
1921,Two+,FOOD_HYG,0.1022,0.09782712740499665
1921,Two+,IP_HIGH,0.0449,0.04297884560160812
1921,Two+,MANUF,0.8074,0.7728534507514119
1921,Two+,OTHER,0.0902,0.08634057624198335
1921,AIAN,FOOD_HYG,0.0325,0.09687034277198212
1921,AIAN,IP_HIGH,0.0464,0.138301043219076
1921,AIAN,MANUF,0.2205,0.6572280178837555
1921,AIAN,OTHER,0.0361,0.10760059612518628
1922,White,FOOD_HYG,8.981300000000001,0.1893925974661336
1922,White,IP_HIGH,2.4559,0.051788636401977166
1922,White,MANUF,32.089800000000004,0.6766916341920138
1922,White,OTHER,3.8946,0.0821271319398755
1922,Black,FOOD_HYG,1.2509000000000001,0.14524406669453346
1922,Black,IP_HIGH,0.4204,0.04881333890669267
1922,Black,MANUF,5.2966,0.6149969810970228
1922,Black,OTHER,1.6445,0.19094561330175094
1922,API,FOOD_HYG,0.08950000000000001,0.046638874413757164
1922,API,IP_HIGH,0.009399999999999999,0.004898384575299634
1922,API,MANUF,1.7797000000000003,0.9274101094319959
1922,API,OTHER,0.0404,0.021052631578947364
1922,Hispanic,FOOD_HYG,0.35040000000000004,0.1588395285584769
1922,Hispanic,IP_HIGH,0.034199999999999994,0.015503173164097913
1922,Hispanic,MANUF,1.6158,0.7324569356300997
1922,Hispanic,OTHER,0.20559999999999998,0.09320036264732547
1922,Two+,FOOD_HYG,0.1964,0.1596099146688338
1922,Two+,IP_HIGH,0.0625,0.050792360828931335
1922,Two+,MANUF,0.8509,0.6915075172694027
1922,Two+,OTHER,0.1207,0.09809020723283218
